"TG";"PIBc";"INT";"DEmp";"INF";"TJ_POB";"PEA_POB";"MIG_POB";"pais"
7.961425988169;8.41870505273257;62.4;13.62;1.45073158124514;-14.1778792119288;-0.383376276976525;-0.00339938965503921;"Albania"
7.20530104487081;8.57313123436743;65.4;12.3;1.47295348748196;-13.7699467833978;-0.384683900177829;-0.00317683374407265;"Albania"
10.531019365701;8.59345292063218;68.55039112;11.47;1.25702482876329;-12.2252416687804;-0.387168047326137;-0.00311436760889513;"Albania"
10.3364708709667;8.58354962864176;72.23767711;12.833;0.696542442312051;-12.150506727701;-0.38999020203222;-0.00321264450645542;"Albania"
10.413644752957;8.76048489394009;79.32371752;12.59;3.45443198973012;-11.5911912101653;-0.3932789593778;-0.00377427475382922;"Albania"
10.4901535897695;8.32722715064226;47.69105515;12;6.39065471422123;-14.699194137389;-0.436182606775902;-0.000886024801401654;"Algeria"
9.86523049491767;8.33610057218239;49.03846808;12.145;6.75721524154756;-14.9123834061111;-0.444390010844241;-0.000864049274969711;"Algeria"
10.8390582261105;8.29953040972036;58.97757455;12.275;-0.472073341295342;-15.0849285347952;-0.451419429855394;-0.000852024035947893;"Algeria"
10.7101689776315;8.11795460732616;63.94999611;14.036;-5.02598504788905;-14.329063213842;-0.456725025373053;-0.000432595610948496;"Algeria"
11.5061117039349;8.21617314833494;70.77;13.729;15.5674826470622;-14.2025394022098;-0.460355557558838;-0.000425483570781626;"Algeria"
12.2258364975648;9.58966926198835;74.29490687;8.35;26.0063792819079;-12.6807371796227;-0.442190631192927;0.000111840643384756;"Argentina"
12.9478466912127;9.37544478956598;77.7;9.22;42.0336689575031;-12.3797675720871;-0.440878413185895;0.000105406281432254;"Argentina"
14.6169423802552;9.20670117429343;79.94695203;9.84;49.1955790596612;-12.1360132303839;-0.439127510525419;9.96468256589107e-05;"Argentina"
13.6835118644419;9.04792001862025;85.51438646;11.46;40.0830878011993;-12.0064931976016;-0.43670584891343;5.16563951465643e-05;"Argentina"
14.3951822856474;9.27339596228087;87.15070683;8.74;53.8404499043736;-11.6919506242017;-0.433535068081557;5.11692668651251e-05;"Argentina"
9.54395495797184;8.30449367852952;64.74488433;12.914;2.15064189848613;-13.4772097004345;-0.375645636853382;-0.00923096451061266;"Armenia"
11.0776713371225;8.38752251261662;68.24505226;13.21;2.78770951425761;-12.0248882066784;-0.383146418159819;-0.0091078726780389;"Armenia"
10.197870995562;8.48229215137001;66.54394969;12.2;1.06562263923419;-12.549875802315;-0.390507522744502;-0.00899205205129969;"Armenia"
11.6357042676428;8.41313576897619;76.50770055;12.18;1.80659270159933;-11.8026083915206;-0.396771389275668;-0.00457120167892307;"Armenia"
12.0123800629738;8.51173496307698;78.61225758;10.01;6.90051365853486;-12.5393161038236;-0.402987504698721;-0.00459517000158368;"Armenia"
14.7641445768501;10.8958973692491;86.54504885;5.59;3.65123280881308;-10.6193607201542;-0.41959916003267;0.00995726842575495;"Australia"
15.2621708698011;10.9555936750371;90;5.3;1.87881043499081;-10.3736217021099;-0.422341369072966;0.00882525029385187;"Australia"
15.749356860565;10.915989365912;93.60991916;5.16;3.46372273602202;-10.200747389314;-0.424806863914797;0.00930971461970964;"Australia"
14.7656344198401;10.8564620814804;96.39446689;6.46;2.11382544142691;-10.3446414250778;-0.427332256911725;0.00459775662818653;"Australia"
14.9763767349828;11.0136535960485;96.24;5.12;3.07877416395633;-10.5046554060874;-0.429898447103751;0.00459128317661403;"Australia"
12.0924270700188;10.7669924758603;87.93558659;5.56;1.0055341594591;-11.620537797814;-0.400699535250336;0.00518018279146755;"Austria"
12.4500996124275;10.8486874885895;87.47913723;4.93;1.83806444755734;-10.7799206119197;-0.40321161693238;0.00400474134952001;"Austria"
14.8521634181077;10.8211290861984;87.75220479;4.56;1.60787622974401;-10.6714269371292;-0.405792473193578;0.00462898314399229;"Austria"
13.0172346793192;10.7952703606866;87.52942813;5.2;2.71949516223945;-10.9535988659849;-0.40876025272722;0.00227815518998608;"Austria"
12.9896593224416;10.8877712779371;92.52915104;6.46;2.06821009880306;-11.3349827556131;-0.412892354203773;0.00226825150235094;"Austria"
8.05091381851054;8.33018823878237;79;5;16.1724003104411;-14.157481221919;-0.362530723744748;0.000120153849697885;"Azerbaijan"
8.85868281984923;8.46374901972665;79.79999549;4.9;12.1848769569655;-13.62714789035;-0.364378430247351;0.000159259202249227;"Azerbaijan"
10.3971961116522;8.47756917021831;81.09999907;5;-0.241307927446329;-12.2493199964942;-0.366071830841597;3.91050412283851e-05;"Azerbaijan"
10.7283436848336;8.34993614866002;84.59999573;7.24;-7.39596582740913;-12.6010041360399;-0.366662068562104;0.000107399881562898;"Azerbaijan"
12.3360930317789;8.59564300373613;86;6.04;21.5888241949245;-13.3591879157744;-0.365882096390591;0.000106927079480161;"Azerbaijan"
10.4101545411533;10.100283427072;95.87813575;1.192;5.51968542033678;-13.4986289653881;-0.258217698515332;0.0199226541939576;"Bahrain"
8.67723846394576;10.1431281413446;98.64467258;1.198;4.36006188422726;-13.1138875589233;-0.257863201538371;-0.00242110075705622;"Bahrain"
9.60773903360616;10.1608049844068;99.70150438;1.22;0.0832617803389297;-12.6076555610041;-0.261578393827828;-0.0114624130296857;"Bahrain"
11.1071503088021;10.0619085545276;99.67103159;1.786;-6.06707692867674;-11.9032559536608;-0.267827940806243;-0.0329726038245134;"Bahrain"
11.1247813781077;10.1980212262525;100;1.548;10.5287503300377;-11.7112741484662;-0.272673602257809;-0.00625313938350196;"Bahrain"
