country,total_earnings,total_players,year,iso,code,pbicap,internet,desempleo,elect_acc,movil,poblacion,pea,net_mig,life_exp,CPI,gdp_gr,inflacion
Hungary,696.32,3,2006-01-01,HU,348,11489.5608654088,47.06,7.49,99.8843078613281,99.09176258,10071370.0,6941896.0,20926.0,73.0975609756098,,4.10805412926589,3.65668643970305
Slovakia,500.0,5,2006-01-01,SK,0,13170.7849804675,56.08,13.39,99.8885498046875,90.99901883,5373054.0,3852362.0,-26.0,74.2048780487805,,8.48818929971516,2.89907401547424
Lithuania,392.0,2,2006-01-01,LT,440,9230.70798102521,43.9,5.78,99.3680725097656,141.9895141,3269909.0,2194902.0,-34885.0,71.0560975609756,,9.142617036882,6.73558515155621
Venezuela,350.0,2,2006-01-01,VE,862,6769.86841430715,15.22471148,8.61,99.3,69.32850172,27102081.0,17174375.0,-27239.0,72.742,,8.11556212465032,17.9043155490636
Colombia,300.0,1,2006-01-01,CO,170,3782.60349568944,15.34167454,11.089,95.7262268066406,69.58309594,42772910.0,27895361.0,-39142.0,73.468,,5.33972344422868,5.80766087330477
Viet Nam,264.9,19,2006-01-01,VN,0,790.592516384921,17.25456172,2.045,96.0,22.50396061,83951800.0,56204274.0,-131559.0,73.319,,5.94616532064683,8.56894797603766
Latvia,150.0,1,2006-01-01,LV,428,9723.44690174779,53.63,7.03,99.6487579345703,99.08267704,2218357.0,1504617.0,-17116.0,70.8658536585366,,13.0036480961687,12.4335534677998
"Iran, Islamic Republic of",88.84,1,2006-01-01,IR,0,3736.1777926143,8.76,11.52,98.4,21.58558393,71275760.0,50340766.0,252053.0,72.276,,3.38939916561527,14.5825930244323
Malta,70.0,1,2006-01-01,MT,470,16723.8842735356,40.41,6.8,100.0,84.33187905,405308.0,281570.0,183.0,79.4390243902439,,2.13733998176279,2.16012423071348
Slovenia,37.5,1,2006-01-01,SI,705,19672.9655554146,54.01,5.99,100.0,90.36547028,2006868.0,1412124.0,8036.0,78.0865853658537,,5.40948263334755,2.22109087893656
Morocco,25.59,1,2006-01-01,MA,504,2433.21264648438,19.77119157,9.67,96.5,51.95551274,30833022.0,19943271.0,-72241.0,69.128,,6.35441068427713,1.44536678457565
United States,2054636.01,603,2007-01-01,US,840,48050.2237771135,75.0,4.62,100.0,82.34696473,301231207.0,202508658.0,1108509.0,77.9878048780488,,1.04493013677586,2.70252656886151
"Korea, Republic of",1543050.73,142,2007-01-01,KR,0,24086.4104391677,78.8,3.01,100.0,92.01288263,48683638.0,35027760.0,-39728.0,79.119512195122,,5.26636114571932,2.41919594427836
Sweden,467060.41,144,2007-01-01,SE,752,53700.0053363063,82.01,6.16,100.0,110.3944972,9148092.0,6009971.0,46383.0,80.9,,2.67500267083921,2.82589323136247
Germany,426236.7,221,2007-01-01,DE,276,41640.0808695147,75.16,8.66,100.0,118.5370597,82266372.0,54364149.0,180746.0,79.5341463414634,,3.11424588261349,1.77027320694081
Canada,322959.5,112,2007-01-01,CA,124,44659.8951408034,73.2,6.16,100.0,61.70384455,32889025.0,22865623.0,210817.0,80.5436585365854,,1.06365876675324,3.30054564423155
China,280072.72,134,2007-01-01,CN,156,2693.95873162278,16.0,4.35,98.4865036010742,41.41509824,1317885000.0,958367798.0,-438846.0,74.762,,13.6358205016025,7.74968649156058
Russian Federation,273603.3,180,2007-01-01,RU,643,9101.2392578125,24.66,6.0,98.2062072753906,119.4978199,142805114.0,101749088.0,372974.0,67.5868292682927,,8.68576548155966,13.8412392398238
France,205864.71,120,2007-01-01,FR,250,41557.6235648179,66.09,8.01,100.0,90.2635957,64021737.0,41694810.0,142170.0,81.1121951219512,,1.79523636713417,2.5566370154462
Poland,201387.74,51,2007-01-01,PL,616,11254.3140875349,48.6,9.6,99.7719039916992,107.4422651,38120560.0,27072534.0,-29316.0,75.2439024390244,,7.11969021149332,3.71708701568933
Denmark,193117.38,87,2007-01-01,DK,208,58487.0549677696,85.03,3.8,100.0,115.1153288,5461438.0,3608446.0,13067.0,78.1951219512195,,0.46273149419045,2.43228058523555
United Kingdom,187310.46,115,2007-01-01,GB,826,50397.6854954706,75.09,5.26,100.0,120.527906,61322463.0,40682733.0,279808.0,79.4487804878049,,1.82436446195527,2.25251537935698
Netherlands,128866.05,46,2007-01-01,NL,528,51799.2085521047,85.82,4.15,100.0,117.6543655,16381696.0,11051655.0,18739.0,80.0975609756098,,3.5473594981308,2.07220572994835
Finland,127774.7,61,2007-01-01,FI,246,48476.3927287052,80.78,6.85,100.0,114.9623281,5288720.0,3518847.0,13940.0,79.2634146341464,,4.85231327619931,2.7532807031041
Ukraine,116652.8,107,2007-01-01,UA,804,3197.93432617188,6.55,6.35,99.8,119.0876067,46509355.0,32357186.0,11518.0,68.2221951219512,,8.86368846323961,22.8423440433556
Brazil,101838.71,46,2007-01-01,BR,076,7323.19159375818,30.88,9.28,98.125382,63.4135915,190779453.0,128555114.0,-30331.0,72.365,,4.98082992000504,6.43903808702757
Norway,92795.21,53,2007-01-01,NO,578,85502.2677087731,86.93,2.49,100.0,106.9661048,4709153.0,3113061.0,39806.0,80.3951219512195,,1.8546433169967,3.07766200410229
Singapore,36359.26,16,2007-01-01,SG,702,39432.8860198877,69.9,3.9,100.0,127.0378465,4588599.0,3514737.0,147762.0,80.4414634146342,,4.57298627096552,5.91682447669695
Mexico,35100.0,16,2007-01-01,MX,484,10178.4422371206,20.81,3.63,97.9146041870117,61.45672658,108302973.0,68190845.0,-309663.0,74.238,,0.743081231410244,6.12779215120692
Japan,30557.13,14,2007-01-01,JP,392,35779.0245416427,74.3,3.89,100.0,83.854384,128001000.0,82682697.0,163068.0,82.5070731707317,,1.36742232603785,-0.705243547499791
Australia,24443.09,24,2007-01-01,AU,036,41051.6120652288,69.45,4.38,100.0,102.0602734,20827622.0,14049608.0,251231.0,81.2926829268293,,1.89670839165348,4.98597993495113
Italy,23333.43,17,2007-01-01,IT,380,37870.7475070969,40.79,6.08,100.0,152.7786988,58438310.0,38435856.0,485871.0,81.4341463414634,,0.975922132963376,2.47899476586151
Austria,21779.83,15,2007-01-01,AT,040,46915.3374004507,69.37,4.91,100.0,119.4976758,8295487.0,5598503.0,23729.0,80.1804878048781,,3.39173082681461,2.22117586707647
Spain,21526.68,26,2007-01-01,ES,724,32591.3503065871,55.11,8.23,100.0,107.0209594,45226803.0,31152612.0,774489.0,80.8731707317073,,1.70457158797855,3.41639675931501
Belgium,11899.76,15,2007-01-01,BE,056,44319.165448813,66.76042024,7.46,100.0,100.792448,10625700.0,7013018.0,50352.0,79.7829268292683,,2.91833834881372,1.93172111672469
Bulgaria,11581.74,11,2007-01-01,BG,100,5888.77685220636,33.64,6.88,91.7412872314453,128.2216717,7545338.0,5176982.0,-4748.0,72.6634146341463,,7.44148860319636,11.0514317081502
Belarus,10296.82,4,2007-01-01,BY,112,4735.48107556066,19.7,7.404,92.61767578125,70.83258616,9560953.0,6709208.0,-6448.0,70.2073170731707,,9.09946004159468,12.8727022297203
Estonia,6464.67,4,2007-01-01,EE,233,16744.5844516343,66.19,4.59,100.0,125.4573787,1340680.0,908765.0,-2862.0,72.8146341463415,,8.07102533368965,12.3583881840857
Czech Republic,5890.54,21,2007-01-01,CZ,203,18466.5479299216,51.93,5.32,100.0,127.9633374,10298828.0,7336996.0,27262.0,76.7243902439025,,4.95608533293907,3.5403818069683
Kazakhstan,5471.0,8,2007-01-01,KZ,398,6771.41662014884,4.02,7.26,100.0,76.98720041,15484192.0,10580318.0,13172.0,66.34,,7.66144313503145,15.5270972952622
Slovenia,5342.39,2,2007-01-01,SI,705,23817.8867320201,56.74,4.87,100.0,95.31358042,2018122.0,1416346.0,7993.0,78.5609756097561,,6.38358892726794,4.17748452362763
Slovakia,4666.81,18,2007-01-01,SK,0,16106.0604446695,61.8,11.16,100.0,112.8232059,5374622.0,3866630.0,363.0,74.2073170731707,,10.7996945164922,1.1155436660847
Turkey,4496.83,6,2007-01-01,TR,792,9711.22376120832,28.63,8.87,99.6665954589844,87.94778159,70158112.0,46306358.0,-85513.0,74.193,,4.20987632953147,6.1997582025374
Hungary,4408.26,25,2007-01-01,HU,348,13940.9092761999,53.3,7.41,100.0,109.8470378,10055780.0,6932247.0,14398.0,73.1512195121951,,0.432838011374443,5.44367721666583
Switzerland,4075.38,17,2007-01-01,CH,756,64989.1553256031,77.2,3.64,100.0,108.8436554,7551117.0,5146837.0,71939.0,81.7414634146342,,2.99182202308279,2.37706132688891
Portugal,3720.32,11,2007-01-01,PT,620,22811.0564844365,42.09,7.97,100.0,127.559973,10542964.0,7018446.0,21954.0,78.3219512195122,,2.30555211277161,2.96634549274198
Hong Kong,3428.56,4,2007-01-01,HK,0,30593.9511738646,64.8,4.01,100.0,153.562659,6916300.0,5101650.0,31280.0,82.3668292682927,,5.55355180713275,3.13742924586245
Ireland,3363.23,3,2007-01-01,IE,372,61396.417461176,61.15832455,4.98,100.0,114.0116573,4398942.0,3036843.0,77427.0,79.6414634146341,,2.30923104603731,1.1984880613123
Peru,3116.4,3,2007-01-01,PE,604,3572.36358879114,25.2,4.08,81.988131,53.90572862,28600387.0,17900308.0,-236705.0,73.223,,7.68626409527067,1.49067595453904
Croatia,2971.63,3,2007-01-01,HR,191,13762.4562630334,41.44,9.91,99.8337326049805,114.2786388,4310217.0,2874124.0,-2207.0,75.7056097560976,,5.09798600866237,4.27463094970662
Latvia,2968.55,2,2007-01-01,LV,428,14113.5291277327,59.17,6.05,99.6527862548828,101.8820773,2200325.0,1490919.0,-16590.0,71.019512195122,,10.842912495241,20.0626710169173
Romania,2700.0,15,2007-01-01,RO,642,8360.33775916596,28.3,6.41,96.1461334228516,98.34059881,20882982.0,14444850.0,-127609.0,72.5658536585366,,8.82964823723904,15.8162274724437
Viet Nam,866.67,2,2007-01-01,VN,0,913.312331601755,20.75544477,2.03,93.0883560180664,53.11803062,84762269.0,57339069.0,-119471.0,73.436,,6.10516732052488,9.63022561216118
Argentina,800.0,2,2007-01-01,AR,032,7210.59554755899,25.94663294,8.47,97.2243957519531,101.3182303,39876111.0,25253207.0,-18051.0,75.006,,7.91621057164458,14.9399250245835
Iceland,395.78,1,2007-01-01,IS,352,69495.7267376825,90.6,2.25,100.0,104.5678573,311566.0,209875.0,5247.0,81.4536585365854,,5.74528128782477,4.33314563453666
New Zealand,395.56,1,2007-01-01,NZ,554,32479.9817381467,69.76,3.66,100.0,100.7038503,4223800.0,2808773.0,2976.0,80.1512195121951,,2.10859701569142,5.30069952271066
Chile,387.3,3,2007-01-01,CL,152,10456.8323839064,35.9,8.43,98.0392684936523,84.59985967,16495538.0,11202016.0,20188.0,77.826,,4.14200232075726,5.08875706456591
Lithuania,200.0,1,2007-01-01,LT,440,12285.4470537014,49.9,4.25,99.3960494995117,150.1054266,3231294.0,2171963.0,-33813.0,70.9,,12.4352501754842,8.55458561870641
"Moldova, Republic of",98.0,5,2007-01-01,MD,0,1531.21618590748,20.45,2.75,98.9699554443359,48.56606264,2874299.0,2032173.0,-69289.0,68.947,,3.238946835622,15.9087149618352
United States,1569044.56,504,2008-01-01,US,840,48570.0459804586,74.0,5.78,100.0,85.47738005,304093966.0,204331171.0,1095864.0,78.0390243902439,,-0.820367898524154,1.91793297784062
"Korea, Republic of",1542607.08,212,2008-01-01,KR,0,21350.427979823,81.0,2.96,100.0,94.23198088,49054708.0,35397207.0,-20513.0,79.5170731707317,,2.23375225977168,2.8263023010858
United Kingdom,832180.83,205,2008-01-01,GB,826,47396.1202078484,78.39,5.62,100.0,121.3772695,61806995.0,40985517.0,283762.0,79.6,,-1.00790103220685,3.40328007531652
Sweden,521539.4,141,2008-01-01,SE,752,56152.552340314,90.0,6.23,100.0,108.5026226,9219637.0,6052458.0,50669.0,81.1,,-1.22306957770027,3.23523527997193
Germany,488310.74,211,2008-01-01,DE,276,45612.7106221441,78.0,7.52,100.0,129.9265409,82110097.0,54181517.0,211709.0,79.7365853658537,,1.1520297421751,0.909330422301522
China,319273.84,103,2008-01-01,CN,156,3468.32706308591,22.6,4.59,98.7919387817383,48.20785124,1324655000.0,965322958.0,-469093.0,74.872,,9.09028010033224,7.79534603755035
Denmark,263385.12,114,2008-01-01,DK,208,64322.0635020842,85.02,3.68,100.0,119.1583628,5493621.0,3620404.0,14111.0,78.4463414634146,,-1.09484212816196,4.13469296938067
Russian Federation,217696.4,205,2008-01-01,RU,643,11635.2841796875,32.0,6.21,98.3199310302734,139.2838126,142742366.0,102125130.0,385471.0,67.9492682926829,,5.24621001829865,18.0135183350842
France,204215.12,150,2008-01-01,FR,250,45515.9617533473,70.68,7.39,100.0,93.92587863,64379696.0,41868249.0,128627.0,81.2146341463415,,-0.302483826449361,2.36707384043675
Canada,170432.79,63,2008-01-01,CA,124,46710.5055759013,76.7,6.28,100.0,66.5065332,33247118.0,23111668.0,237962.0,80.7246341463415,,-0.0923796458226178,3.99631645542576
Netherlands,148646.62,65,2008-01-01,NL,528,57879.9437553916,87.42,3.65,100.0,125.3100554,16445593.0,11079502.0,23206.0,80.2512195121951,,1.77335666374768,2.30632549844012
Poland,125957.15,27,2008-01-01,PL,616,13995.7811598115,53.13,7.12,99.7825469970703,114.0266842,38125759.0,27148245.0,-20946.0,75.5439024390244,,4.18577208627693,3.89433845992298
Spain,116435.13,48,2008-01-01,ES,724,35510.7222312701,59.6,11.25,100.0,107.9553544,45954106.0,31604262.0,430778.0,81.1756097560976,,-0.709644824380291,2.2543271978751
Ukraine,106744.51,60,2008-01-01,UA,804,4066.53173828125,11.0,6.36,99.7878723144531,120.558086,46258189.0,32313820.0,16490.0,68.2514634146342,,2.79864234957681,29.0201144092657
Finland,95177.6,85,2008-01-01,FI,246,53772.7942390019,83.67,6.37,100.0,128.5441388,5313399.0,3536864.0,15579.0,79.5682926829268,,0.315886376754079,3.03723677240961
Brazil,66709.25,11,2008-01-01,BR,076,8801.75787553359,33.83,8.27,98.526625,78.18528647,192672317.0,130440998.0,-35373.0,72.715,,4.06172216621563,8.7785527236756
Italy,60765.25,23,2008-01-01,IT,380,40944.9124194678,44.53,6.72,100.0,152.5406123,58826731.0,38648892.0,413349.0,81.4853658536585,,-1.61594062742927,2.40070344440197
Portugal,56184.38,22,2008-01-01,PT,620,24949.0413566739,44.13,7.55,100.0,132.7779993,10558177.0,7021239.0,10008.0,78.5243902439025,,0.174700554936223,1.73772428812507
Singapore,55469.5,20,2008-01-01,SG,702,40008.5720489092,69.0,3.96,100.0,132.5809637,4839396.0,3740067.0,145016.0,80.790243902439,,-3.41549269446281,-1.38155543169427
Australia,47000.0,11,2008-01-01,AU,036,49701.2817843335,71.67,4.24,100.0,104.1045379,21249199.0,14342140.0,278516.0,81.3951219512195,,1.53111186781014,4.56982224937894
Austria,43786.37,12,2008-01-01,AT,040,51919.9835754226,72.87,4.2,100.0,129.9823149,8321496.0,5616074.0,25499.0,80.4317073170732,,1.14330711888604,1.95632228093217
Mexico,30035.95,11,2008-01-01,MX,484,10589.9518745518,21.71,3.87,98.914037,68.65461989,109684489.0,69420302.0,-321847.0,74.152,,-0.328086091072763,6.31038165916277
Japan,29889.5,12,2008-01-01,JP,392,39876.3039685725,75.4,4.0,100.0,86.1938134,128063000.0,81996931.0,158396.0,82.5875609756098,,-1.27210994887062,-0.911530288285164
Belgium,26817.85,26,2008-01-01,BE,056,48303.397956286,68.85732214,6.98,100.0,105.7332365,10709973.0,7073628.0,51937.0,79.6804878048781,,-0.343452718095421,1.90884542543854
Czech Republic,23606.81,18,2008-01-01,CZ,203,22804.5776774507,62.97,4.39,100.0,132.7750137,10384603.0,7374057.0,29811.0,76.9756097560976,,1.83824019269181,2.00958123723267
Belarus,22583.33,3,2008-01-01,BY,112,6376.17569162063,23.0,6.732,93.1913681030273,83.04193393,9527985.0,6714272.0,-2728.0,70.4560975609756,,10.58130502501,21.2135361351524
Romania,20477.4,10,2008-01-01,RO,642,10435.2179803541,32.42,5.79,96.4508819580078,118.8007792,20537875.0,14173966.0,-138327.0,72.5658536585366,,11.1442089014979,16.0155798889218
Norway,15603.56,33,2008-01-01,NO,578,97503.5407803783,90.57,2.55,100.0,109.2804594,4768212.0,3159344.0,43884.0,80.5926829268293,,-0.762647958322503,10.5663830343854
Slovakia,14006.67,14,2008-01-01,SK,0,18753.5849413816,66.05,9.51,100.0,102.5718387,5379233.0,3878872.0,761.0,74.7048780487805,,5.48438909375071,2.85807495928208
Hungary,12989.9,30,2008-01-01,HU,348,15772.3300839383,61.0,7.82,100.0,121.954914,10038188.0,6915646.0,16664.0,73.7024390243903,,1.18095319914788,4.80613866757824
Malaysia,8000.0,5,2008-01-01,MY,458,8343.3033817446,55.8,3.32,98.9828109741211,100.1760536,27664296.0,18208339.0,217538.0,74.25,,2.66538603495819,10.3889003992836
Bulgaria,7352.44,16,2008-01-01,BG,100,7271.30338858025,39.67,5.61,92.3192672729492,135.8844328,7492561.0,5129121.0,-5674.0,72.9634146341463,,6.87712687993118,8.10345623202093
Croatia,7258.34,2,2008-01-01,HR,191,15898.7998960876,44.24,8.53,100.0,103.6669395,4309705.0,2872102.0,-2613.0,75.9121951219512,,2.02377256995869,5.51121441581461
Malta,3148.29,9,2008-01-01,MT,470,22205.3567709304,50.08,5.98,100.0,93.28353515,409379.0,285169.0,918.0,79.6365853658537,,3.15300028932182,3.23008845482914
Argentina,3000.0,1,2008-01-01,AR,032,8977.50685093365,28.11262348,7.84,97.5016021728516,115.4815533,40273769.0,25581439.0,-12450.0,75.641,,3.02978540664043,23.1711649813124
Hong Kong,2495.48,12,2008-01-01,HK,0,31515.5292103443,66.7,3.56,100.0,164.2416608,6957800.0,5149615.0,26820.0,82.3404878048781,,1.5187068285768,1.28154702810481
Turkey,2475.84,8,2008-01-01,TR,792,10843.5036940489,34.37,9.71,99.6881561279297,92.29310145,71051678.0,47093075.0,-75192.0,74.45,,-0.452853692268519,12.046153593928
Switzerland,2012.79,4,2008-01-01,CH,756,74175.1927898555,79.2,3.35,100.0,116.4751316,7647675.0,5215088.0,94153.0,81.9926829268293,,1.50995079379716,1.44992801006573
Iceland,1407.62,1,2008-01-01,IS,352,56943.3704468563,91.0,2.95,100.0,106.0453551,317414.0,214386.0,1122.0,81.609756097561,,0.326400099637624,12.1352814872696
Estonia,1332.96,2,2008-01-01,EE,233,18204.9664786762,70.58,5.45,100.0,121.4997483,1337090.0,904893.0,-1973.0,73.7707317073171,,-4.87728652816892,6.80252342949264
Lithuania,816.5,6,2008-01-01,LT,440,14944.996652175,55.22,5.83,99.4412460327148,155.7707564,3198231.0,2151210.0,-32451.0,71.8121951219512,,3.67524092566269,9.70910857173813
Slovenia,666.48,1,2008-01-01,SI,705,27595.5999653992,58.0,4.41,100.0,101.0258437,2021316.0,1413072.0,7583.0,78.7658536585366,,3.34627954360531,4.46561784391565
Ireland,655.2,2,2008-01-01,IE,372,61353.1065629523,65.34,6.77,100.0,113.3801112,4489544.0,3088703.0,19349.0,80.0951219512195,,-6.41164596990882,-0.504525642239201
Latvia,648.9,1,2008-01-01,LV,428,16467.1436879405,63.41,7.74,99.6740493774414,106.8916096,2177322.0,1472303.0,-15933.0,72.419512195122,,-2.22696576572423,11.662247422828
South Africa,404.83,1,2008-01-01,ZA,710,6251.87742691265,8.43,19.51,81.9,88.99293459,50565812.0,33370739.0,36948.0,56.022,,2.02840468771709,7.85033172851331
Ecuador,347.74,1,2008-01-01,EC,218,4260.43318396471,18.8,3.92,97.206576,80.60041815,14496797.0,9042969.0,-8776.0,74.983,,4.55994357811207,13.8473188994265
Kazakhstan,329.67,1,2008-01-01,KZ,398,8458.01947450022,11.0,6.63,100.0,92.06036705,15776938.0,10806088.0,2198.0,67.11,,1.38323631640472,20.9365382117877
Chile,175.0,1,2008-01-01,CL,152,10797.0473705117,37.3,9.29,98.2453155517578,88.80729074,16661462.0,11369721.0,22516.0,78.484,,2.75580095959636,0.31113250293626
Pakistan,50.0,1,2008-01-01,PK,586,1087.51477702611,7.0,0.42,81.3506698608398,47.3397604,185931955.0,104874732.0,-525915.0,64.036,,-0.0805842055896022,10.9204672720775
"Korea, Republic of",941887.71,130,2009-01-01,KR,0,19143.8516053025,81.6,3.36,100.0,98.67498817,49307835.0,35685703.0,4715.0,79.9682926829268,,0.275268980329585,3.60864412572843
United States,720728.12,815,2009-01-01,US,840,47194.9433547336,71.0,9.25,100.0,88.90512135,306771529.0,205957039.0,1031010.0,78.390243902439,,-3.45001592321435,0.640954732672782
Sweden,444887.73,134,2009-01-01,SE,752,46946.9602719954,91.0,8.35,100.0,112.2410111,9298515.0,6085118.0,55405.0,81.3512195121951,,-5.15126272885315,2.35890510051033
China,347546.19,106,2009-01-01,CN,156,3832.22745696438,28.9,4.72,99.1107559204102,55.79864972,1331260000.0,970985809.0,-350365.0,75.343,,8.85594767481155,-0.209533359181677
Germany,297720.44,217,2009-01-01,DE,276,41650.3678297162,79.0,7.74,100.0,129.2138879,81902307.0,53968471.0,240968.0,79.8365853658537,,-5.45457716940945,1.84189163776318
Denmark,159799.45,112,2009-01-01,DK,208,58163.2768762815,86.84,6.41,100.0,123.6540732,5523095.0,3627842.0,15469.0,78.5975609756098,,-5.4140139985128,0.529022254242335
France,154161.86,178,2009-01-01,FR,250,41737.7635518137,71.58,9.12,100.0,93.27577006,64710879.0,41982175.0,108940.0,81.4146341463415,,-3.37039728344887,0.0666274760496037
Russian Federation,129645.55,128,2009-01-01,RU,643,8562.82421875,42.55,8.3,98.4470520019531,160.5071896,142785349.0,102567082.0,374958.0,68.6846341463415,,-7.8277499767233,1.97061260305912
Poland,121746.66,43,2009-01-01,PL,616,11525.9007370991,58.97,8.17,100.0,116.2139851,38151603.0,27207210.0,14220.0,75.6951219512195,,2.76252525104977,3.7855516158772
United Kingdom,115754.56,126,2009-01-01,GB,826,38744.131693043,83.56,7.54,100.0,122.8742004,62276270.0,41224543.0,284800.0,80.0512195121951,,-5.33371939419183,1.89111193473404
Spain,77619.52,35,2009-01-01,ES,724,32169.5028548583,62.4,17.86,100.0,110.1038303,46362946.0,31740573.0,130589.0,81.4756097560976,,-4.61174792296352,0.143775339270547
Netherlands,71100.4,53,2009-01-01,NL,528,52722.2130568997,89.63,4.35,100.0,121.8477658,16530388.0,11109811.0,28780.0,80.5487804878049,,-4.16103849540806,0.220701610642962
Ukraine,64924.79,74,2009-01-01,UA,804,2639.37817382813,17.9,8.84,99.9001541137695,119.4564211,46053331.0,32283052.0,18178.0,69.19,,-14.7589746579022,12.6299289738027
Finland,58497.78,68,2009-01-01,FI,246,47481.4845364339,82.49,8.25,100.0,144.2267619,5338871.0,3547864.0,14757.0,79.719512195122,,-8.51302848718304,1.77390522146771
Kazakhstan,48993.1,53,2009-01-01,KZ,398,7165.22477794014,18.2,6.55,100.0,104.0288753,16092822.0,11038762.0,8215.0,68.39,,-0.786442204419629,4.69108507403161
Canada,45065.25,106,2009-01-01,CA,124,40876.3101540295,80.3,8.46,100.0,70.88158252,33628895.0,23361613.0,240878.0,81.0660975609756,,-4.0172570696939,-2.32492207227941
Norway,28500.55,42,2009-01-01,NO,578,80347.5700665184,92.08,3.1,100.0,110.8786963,4828726.0,3199966.0,39234.0,80.7951219512195,,-3.16925628485011,-5.11594400838129
Japan,23025.75,8,2009-01-01,JP,392,41308.9968370512,78.0,5.07,100.0,90.7727623,128047000.0,81355870.0,159210.0,82.9314634146342,,-5.68145234031182,-0.569564924624345
Bulgaria,20818.08,38,2009-01-01,BG,100,6988.27316296465,45.0,6.82,92.91064453125,136.9375706,7444443.0,5076737.0,-6997.0,73.4121951219512,,-2.72241557643444,3.93801932553089
Slovakia,19790.28,5,2009-01-01,SK,0,16597.2084581361,70.0,12.02,100.0,102.0188253,5386406.0,3884662.0,1148.0,74.909756097561,,-5.58143638478245,-1.1612222898941
Belgium,14425.88,25,2009-01-01,BE,056,44760.2912443709,74.54414555,7.91,100.0,109.0163124,10796493.0,7123379.0,53385.0,80.0341463414634,,-2.80592074025158,0.533179397971551
Singapore,14276.08,16,2009-01-01,SG,702,38926.8054365453,69.0,5.86,100.0,137.4018501,4987573.0,3892872.0,142947.0,81.2414634146342,,-2.84677194924208,2.95392464373782
Czech Republic,12927.8,15,2009-01-01,CZ,203,19861.6974295256,64.43,6.66,100.0,125.3428438,10443936.0,7375592.0,31317.0,77.0780487804878,,-5.19898191898565,2.58782068092624
Italy,10746.29,11,2009-01-01,IT,380,37226.7571935402,48.83,7.75,100.0,151.1561311,59095365.0,38762126.0,280126.0,81.6365853658537,,-5.71150838276657,1.67883895982297
Austria,8999.88,15,2009-01-01,AT,040,48153.3240199631,73.45,5.37,100.0,137.0500745,8343323.0,5629260.0,17121.0,80.3317073170732,,-4.01634004211772,1.88926417785875
Belarus,8658.88,12,2009-01-01,BY,112,5352.48809190697,27.43,6.1,93.778450012207,99.26716397,9504583.0,6717245.0,2166.0,70.4073170731707,,0.446705735139588,9.25866190364002
Brazil,7800.0,11,2009-01-01,BR,076,8569.90254736072,39.22,9.42,98.856938,87.07984742,194517549.0,132309102.0,-29357.0,72.948,,-1.07323833266479,7.31348274592885
Turkey,7640.91,7,2009-01-01,TR,792,9012.99945793034,36.4,12.55,99.7231063842773,86.92142533,72039206.0,47969013.0,31992.0,74.765,,-6.12785740051382,5.44644910319889
Bosnia and Herzegovina,6615.03,1,2009-01-01,BA,070,4542.31167332328,37.74,24.07,99.3856430053711,83.99816904,3877750.0,2708940.0,-68227.0,76.976,,-1.36252916749166,0.18546652937485
Uruguay,6000.0,1,2009-01-01,UY,858,9780.73961786409,41.8,7.74,99.1,122.9476137,3344156.0,2111704.0,-8510.0,76.738,,3.99318432319997,8.6170745452345
Mexico,5050.0,2,2009-01-01,MX,484,8495.65308070414,26.34,5.36,98.2967987060547,74.91580596,111049428.0,70638875.0,-289132.0,74.119,,-7.44700134811362,5.24348242663082
Malaysia,5048.1,12,2009-01-01,MY,458,7167.87719423373,55.9,3.66,99.3,106.8284441,28217204.0,18750824.0,194571.0,74.227,,-3.44334280616775,-5.99220155562196
Hungary,4988.41,4,2009-01-01,HU,348,13077.305465178,62.0,10.03,100.0,117.8236573,10022650.0,6895853.0,19182.0,73.9048780487805,,-6.45306695717771,4.1990645514699
Croatia,4700.0,1,2009-01-01,HR,191,14421.1714758536,50.58,9.2,100.0,106.6836675,4305181.0,2870349.0,-3675.0,76.1682926829268,,-7.12040933569828,2.97929430149959
Argentina,3660.0,15,2009-01-01,AR,032,8184.38988923991,34.0,8.65,97.7922058105469,128.9999606,40684338.0,25914190.0,-7869.0,75.936,,-6.86795522506981,15.3776493708921
Malta,3396.0,14,2009-01-01,MT,470,21083.2770528363,58.86,6.89,100.0,101.5843562,412477.0,285905.0,1774.0,80.2414634146342,,-1.87642962600751,2.02085471582163
Australia,3025.0,2,2009-01-01,AU,036,42816.5674002829,74.25,5.57,100.0,102.4888541,21691653.0,14637328.0,235881.0,81.5439024390244,,-0.185773152884209,4.94916075711996
Portugal,2923.24,9,2009-01-01,PT,620,23151.2154130712,48.27,9.43,100.0,111.3652914,10568247.0,7014042.0,15657.0,78.7268292682927,,-3.21438996722308,1.09813586372714
Hong Kong,2500.0,1,2009-01-01,HK,0,30697.5383861641,69.4,5.26,100.0,177.5601144,6972800.0,5176003.0,20910.0,82.7751219512195,,-2.66888734294891,-0.375499716194696
Chile,2248.35,5,2009-01-01,CL,152,10204.5588537616,41.56,11.31,99.593662,97.72343715,16833447.0,11532057.0,24330.0,78.741,,-2.1283005713077,3.57779503707295
Estonia,2017.87,9,2009-01-01,EE,233,14711.7352728223,72.5,13.55,100.0,117.6827879,1334515.0,901239.0,-1939.0,74.8243902439024,,-14.4643283839458,-0.388681742671537
