"total_earnings";"pbicap";"internet";"life_exp";"pea";"desempleo";"poblacion";"inflacion";"players_ppl";"country"
7.961425988169;8.41870505273257;62.4;79.047;14.4876501155122;13.62;14.8710263924888;1.45073158124514;0.0466105810228438;"Albania"
7.20530104487081;8.57313123436743;65.4;79.184;14.4838751718881;12.3;14.8685590720659;1.47295348748196;0.0738882822029547;"Albania"
10.531019365701;8.59345292063218;68.55039112;79.282;14.4771309510695;11.47;14.8642989983956;1.25702482876329;0.177543342602306;"Albania"
10.3364708709667;8.58354962864176;72.23767711;76.989;14.468566726771;12.833;14.8585569288032;0.696542442312051;0.182255263016335;"Albania"
10.413644752957;8.76048489394009;79.32371752;76.463;14.456008788809;12.59;14.8492877481868;3.45443198973012;0.219410963897533;"Albania"
10.4901535897695;8.32722715064226;47.69105515;75.743;17.0962248746693;12;17.5324074814452;6.39065471422123;0.161598647935524;"Algeria"
9.86523049491767;8.33610057218239;49.03846808;76.066;17.1070507248821;12.145;17.5514407357263;6.75721524154756;0.150361293374817;"Algeria"
10.8390582261105;8.29953040972036;58.97757455;76.474;17.1184157547278;12.275;17.5698351845832;-0.472073341295342;0.141430276589527;"Algeria"
10.7101689776315;8.11795460732616;63.94999611;74.453;17.1304347264904;14.036;17.5871597518635;-5.02598504788905;0.185254275504961;"Algeria"
11.5061117039349;8.21617314833494;70.77;76.377;17.1433812263131;13.729;17.6037367838719;15.5674826470622;0.19320882966043;"Algeria"
12.2258364975648;9.58966926198835;74.29490687;76.833;17.1585274742579;8.35;17.6007181054509;26.0063792819079;0.279532965436474;"Argentina"
12.9478466912127;9.37544478956598;77.7;76.999;17.1699977757558;9.22;17.6108761889417;42.0336689575031;0.297038521010064;"Argentina"
14.6169423802552;9.20670117429343;79.94695203;77.284;17.1816826533492;9.84;17.6208101638746;49.1955790596612;0.31126814729185;"Argentina"
13.6835118644419;9.04792001862025;85.51438646;75.892;17.1938048548756;11.46;17.630510703789;40.0830878011993;0.318993454056817;"Argentina"
14.3951822856474;9.27339596228087;87.15070683;75.39;17.2064505453008;8.74;17.6399856133823;53.8404499043736;0.337190467132142;"Argentina"
9.54395495797184;8.30449367852952;64.74488433;74.906;14.487858424701;12.914;14.8635040615544;2.15064189848613;0.0932683407209239;"Armenia"
11.0776713371225;8.38752251261662;68.24505226;75.064;14.4749551325748;13.21;14.8581015507346;2.78770951425761;0.19068474760264;"Armenia"
10.197870995562;8.48229215137001;66.54394969;75.439;14.4619533725645;12.2;14.852460895309;1.06562263923419;0.155030544044138;"Armenia"
11.6357042676428;8.41313576897619;76.50770055;72.173;14.4503594399683;12.18;14.847130829244;1.80659270159933;0.20505796525526;"Armenia"
12.0123800629738;8.51173496307698;78.61225758;72.043;14.4389136921189;10.01;14.8419011968176;6.90051365853486;0.155140844994155;"Armenia"
14.7641445768501;10.8958973692491;86.54504885;82.5;16.5983564946567;5.59;17.0179556546894;3.65123280881308;0.375990810198876;"Australia"
15.2621708698011;10.9555936750371;90;82.7487804878049;16.6105742527205;5.3;17.0329156217935;1.87881043499081;0.390966177931576;"Australia"
15.749356860565;10.915989365912;93.60991916;82.9;16.6228836649846;5.16;17.0476905288993;3.46372273602202;0.401634645348495;"Australia"
14.7656344198401;10.8564620814804;96.39446689;83.2;16.6326925545008;6.46;17.0600248114125;2.11382544142691;0.393632685800219;"Australia"
14.9763767349828;11.0136535960485;96.24;83.3;16.6315353151417;5.12;17.0614337622454;3.07877416395633;0.384304065386772;"Australia"
12.0924270700188;10.7669924758603;87.93558659;81.6439024390244;15.5892861150307;5.56;15.989985650281;1.0055341594591;0.273261524308512;"Austria"
12.4500996124275;10.8486874885895;87.47913723;81.6926829268293;15.5916447525963;4.93;15.9948563695287;1.83806444755734;0.32603829863354;"Austria"
14.8521634181077;10.8211290861984;87.75220479;81.8951219512195;15.5935106327252;4.56;15.9993031059188;1.60787622974401;0.333006764952068;"Austria"
13.0172346793192;10.7952703606866;87.52942813;81.1926829268293;15.5946946205072;5.2;16.0034548732344;2.71949516223945;0.315547864336179;"Austria"
12.9896593224416;10.8877712779371;92.52915104;81.190243902439;15.5949192358712;6.46;16.007811590075;2.06821009880306;0.291909284924312;"Austria"
8.05091381851054;8.33018823878237;79;72.248;15.7408606472295;5;16.1033913709743;16.1724003104411;0.120838530482637;"Azerbaijan"
8.85868281984923;8.46374901972665;79.79999549;72.76;15.7476761098906;4.9;16.112054540138;12.1848769569655;0.154226554012566;"Azerbaijan"
10.3971961116522;8.47756917021831;81.09999907;73.102;15.7544491765605;5;16.1205210074021;-0.241307927446329;0.240141184588906;"Azerbaijan"
10.7283436848336;8.34993614866002;84.59999573;66.868;15.7607025920939;7.24;16.127364660656;-7.39596582740913;0.218656959696521;"Azerbaijan"
12.3360930317789;8.59564300373613;86;69.366;15.7658945416236;6.04;16.1317766380142;21.5888241949245;0.17187125661697;"Azerbaijan"
10.4101545411533;10.100283427072;95.87813575;79.689;13.9335584474327;1.192;14.191776145948;5.51968542033678;0.0488414680045422;"Bahrain"
8.67723846394576;10.1431281413446;98.64467258;79.857;13.954636646053;1.198;14.2124998475914;4.36006188422726;0.0772990185012591;"Bahrain"
9.60773903360616;10.1608049844068;99.70150438;80.019;13.9555150796104;1.22;14.2170934734382;0.0832617803389297;0.11320442644912;"Bahrain"
11.1071503088021;10.0619085545276;99.67103159;79.174;13.9380131058486;1.786;14.2058410466548;-6.06707692867674;0.162087206623804;"Bahrain"
